latitude,longitude,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,contributing_factor_vehicle_3,contributing_factor_vehicle_4,contributing_factor_vehicle_5,year,month,day,hours,minutes,vehicle_type_code1_big_trucks,vehicle_type_code1_bike,vehicle_type_code1_car,vehicle_type_code1_motorbike,vehicle_type_code1_public vehicles,vehicle_type_code1_service vehicles,vehicle_type_code1_van,vehicle_type_code1_vehicle-attachment,vehicle_type_code2_big_trucks,vehicle_type_code2_bike,vehicle_type_code2_car,vehicle_type_code2_motorbike,vehicle_type_code2_public vehicles,vehicle_type_code2_service vehicles,vehicle_type_code2_van,vehicle_type_code2_vehicle-attachment,vehicle_type_code_3_big_trucks,vehicle_type_code_3_bike,vehicle_type_code_3_car,vehicle_type_code_3_motorbike,vehicle_type_code_3_public vehicles,vehicle_type_code_3_service vehicles,vehicle_type_code_3_van,vehicle_type_code_3_vehicle-attachment
40.624958,-74.145775,1,0,0,0,0,0,1,0,unspecified,unspecified,unspecified,,,2017,5,9,20,10,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
40.66322,-73.893654,8,0,0,0,0,0,8,0,traffic control disregarded,failure to yield right-of-way,unspecified,unspecified,,2017,5,8,23,30,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40.86507,-73.87185,2,0,0,0,0,0,2,0,unsafe speed,unspecified,unspecified,unspecified,unspecified,2017,5,2,7,36,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40.599243,-73.752495,0,0,0,0,0,0,0,0,unspecified,unspecified,unspecified,,,2017,4,29,3,30,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40.71741,-73.984,0,0,0,0,0,0,0,0,failure to yield right-of-way,unspecified,unspecified,,,2017,4,20,21,17,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
40.820263,-73.92976,2,0,0,0,0,0,2,0,driver inattention/distraction,other vehicular,unspecified,,,2017,5,2,21,39,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
40.585964,-73.9517,0,0,0,0,0,0,0,0,following too closely,unspecified,unspecified,,,2017,4,28,8,30,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
40.65772,-73.895386,0,0,0,0,0,0,0,0,following too closely,unspecified,unspecified,,,2017,5,2,8,35,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40.837864,-73.86356,2,0,0,0,0,0,2,0,driver inattention/distraction,unspecified,unspecified,,,2017,4,21,13,50,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40.69283,-73.85468,0,0,0,0,0,0,0,0,unspecified,unspecified,unspecified,unspecified,,2017,4,28,17,45,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40.693516,-73.96499,0,0,0,0,0,0,0,0,other vehicular,unspecified,unspecified,,,2017,4,27,10,15,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
